	c1	
r1	    0.171779141	
r2	    0.255360624	
r3	    0.194743130	
r4	    0.166007905	
r5	    0.155783582	
r6	    0.131868132	
r7	    0.092024540	
r8	    0.050682261	
r9	    0.057347670	
r10	    0.078063241	
r11	    0.100746269	
r12	    0.090109890	
r13	    0.478527607	
r14	    0.423001949	
r15	    0.412186380	
r16	    0.404150198	
r17	    0.369402985	
r18	    0.393406593	
r19	    0.067484663	
r20	    0.046783626	
r21	    0.060931900	
r22	    0.061264822	
r23	    0.075559701	
r24	    0.050549451	
r25	    0.018404908	
r26	    0.044834308	
r27	    0.044205496	
r28	    0.054347826	
r29	    0.052238806	
r30	    0.070329670	
r31	    0.141104294	
r32	    0.142300195	
r33	    0.166069295	
r34	    0.167984190	
r35	    0.177238806	
r36	    0.175824176	
r37	    0.000000000	
r38	    0.009746589	
r39	    0.010752688	
r40	    0.019762846	
r41	    0.015858209	
r42	    0.006593407	
r43	    0.006134969	
r44	    0.001949318	
r45	    0.005973716	
r46	    0.010869565	
r47	    0.009328358	
r48	    0.021978022	
r49	    0.024539877	
r50	    0.025341131	
r51	    0.047789725	
r52	    0.037549407	
r53	    0.043843284	
r54	    0.059340659	
r55	    0.126177024	
r56	    0.128277817	
r57	    0.207883369	
r58	    0.325581395	
r59	    0.064030132	
r60	    0.079376329	
r61	    0.083693305	
r62	    0.062015504	
r63	    0.303201507	
r64	    0.379872431	
r65	    0.449784017	
r66	    0.364341085	
r67	    0.065913371	
r68	    0.055279943	
r69	    0.065334773	
r70	    0.069767442	
r71	    0.065913371	
r72	    0.066619419	
r73	    0.039416847	
r74	    0.015503876	
r75	    0.269303202	
r76	    0.212615167	
r77	    0.111231102	
r78	    0.100775194	
r79	    0.020715631	
r80	    0.014883062	
r81	    0.009179266	
r82	    0.019379845	
r83	    0.011299435	
r84	    0.012048193	
r85	    0.007559395	
r86	    0.003875969	
r87	    0.073446328	
r88	    0.051027640	
r89	    0.025917927	
r90	    0.038759690	
r91	    0.091760300	
r92	    0.119047619	
r93	    0.220900155	
r94	    0.381909548	
r95	    0.059925094	
r96	    0.077922078	
r97	    0.083807553	
r98	    0.075376884	
r99	    0.355805243	
r100	    0.419913420	
r101	    0.420072426	
r102	    0.201005025	
r103	    0.024344569	
r104	    0.048340548	
r105	    0.068287636	
r106	    0.201005025	
r107	    0.058052434	
r108	    0.062770563	
r109	    0.041386446	
r110	    0.040201005	
r111	    0.297752809	
r112	    0.197691198	
r113	    0.118986032	
r114	    0.060301508	
r115	    0.011235955	
r116	    0.015873016	
r117	    0.010863942	
r118	    0.025125628	
r119	    0.009363296	
r120	    0.012987013	
r121	    0.007242628	
