	c1	
r1	  163.000000000	
r2	  513.000000000	
r3	  837.000000000	
r4	 1012.000000000	
r5	 1072.000000000	
r6	  455.000000000	
r7	  163.000000000	
r8	  513.000000000	
r9	  837.000000000	
r10	 1012.000000000	
r11	 1072.000000000	
r12	  455.000000000	
r13	  163.000000000	
r14	  513.000000000	
r15	  837.000000000	
r16	 1012.000000000	
r17	 1072.000000000	
r18	  455.000000000	
r19	  163.000000000	
r20	  513.000000000	
r21	  837.000000000	
r22	 1012.000000000	
r23	 1072.000000000	
r24	  455.000000000	
r25	  163.000000000	
r26	  513.000000000	
r27	  837.000000000	
r28	 1012.000000000	
r29	 1072.000000000	
r30	  455.000000000	
r31	  163.000000000	
r32	  513.000000000	
r33	  837.000000000	
r34	 1012.000000000	
r35	 1072.000000000	
r36	  455.000000000	
r37	    0.000000000	
r38	  513.000000000	
r39	  837.000000000	
r40	 1012.000000000	
r41	 1072.000000000	
r42	  455.000000000	
r43	  163.000000000	
r44	  513.000000000	
r45	  837.000000000	
r46	 1012.000000000	
r47	 1072.000000000	
r48	  455.000000000	
r49	  163.000000000	
r50	  513.000000000	
r51	  837.000000000	
r52	 1012.000000000	
r53	 1072.000000000	
r54	  455.000000000	
r55	  531.000000000	
r56	 1411.000000000	
r57	 1852.000000000	
r58	  258.000000000	
r59	  531.000000000	
r60	 1411.000000000	
r61	 1852.000000000	
r62	  258.000000000	
r63	  531.000000000	
r64	 1411.000000000	
r65	 1852.000000000	
r66	  258.000000000	
r67	  531.000000000	
r68	 1411.000000000	
r69	 1852.000000000	
r70	  258.000000000	
r71	  531.000000000	
r72	 1411.000000000	
r73	 1852.000000000	
r74	  258.000000000	
r75	  531.000000000	
r76	 1411.000000000	
r77	 1852.000000000	
r78	  258.000000000	
r79	  531.000000000	
r80	 1411.000000000	
r81	 1852.000000000	
r82	  258.000000000	
r83	  531.000000000	
r84	 1411.000000000	
r85	 1852.000000000	
r86	  258.000000000	
r87	  531.000000000	
r88	 1411.000000000	
r89	 1852.000000000	
r90	  258.000000000	
r91	  534.000000000	
r92	 1386.000000000	
r93	 1933.000000000	
r94	  199.000000000	
r95	  534.000000000	
r96	 1386.000000000	
r97	 1933.000000000	
r98	  199.000000000	
r99	  534.000000000	
r100	 1386.000000000	
r101	 1933.000000000	
r102	  199.000000000	
r103	  534.000000000	
r104	 1386.000000000	
r105	 1933.000000000	
r106	  199.000000000	
r107	  534.000000000	
r108	 1386.000000000	
r109	 1933.000000000	
r110	  199.000000000	
r111	  534.000000000	
r112	 1386.000000000	
r113	 1933.000000000	
r114	  199.000000000	
r115	  534.000000000	
r116	 1386.000000000	
r117	 1933.000000000	
r118	  199.000000000	
r119	  534.000000000	
r120	 1386.000000000	
r121	 1933.000000000	
r122	  199.000000000	
r123	  534.000000000	
r124	 1386.000000000	
r125	 1933.000000000	
r126	  199.000000000	
r127	  163.000000000	
r128	  513.000000000	
r129	  837.000000000	
r130	 1012.000000000	
r131	 1072.000000000	
r132	  455.000000000	
r133	  531.000000000	
r134	 1411.000000000	
r135	 1852.000000000	
r136	  258.000000000	
r137	  534.000000000	
r138	 1386.000000000	
r139	 1933.000000000	
r140	  199.000000000	
r141	  163.000000000	
r142	  513.000000000	
r143	  837.000000000	
r144	 1012.000000000	
r145	 1072.000000000	
r146	  455.000000000	
r147	  531.000000000	
r148	 1411.000000000	
r149	 1852.000000000	
r150	  258.000000000	
r151	  534.000000000	
r152	 1386.000000000	
r153	 1933.000000000	
r154	  199.000000000	
r155	 3092.000000000	
r156	 5633.000000000	
r157	 4961.000000000	
r158	 3776.000000000	
r159	 2337.000000000	
r160	  657.000000000	
r161	 3092.000000000	
r162	 5633.000000000	
r163	 4961.000000000	
r164	 3776.000000000	
r165	 2337.000000000	
r166	  657.000000000	
r167	 3092.000000000	
r168	 5633.000000000	
r169	 4961.000000000	
r170	 3776.000000000	
r171	 2337.000000000	
r172	  657.000000000	
r173	 2498.000000000	
r174	 4683.000000000	
r175	 4153.000000000	
r176	 3241.000000000	
r177	 2121.000000000	
r178	  623.000000000	
r179	 2498.000000000	
r180	 4683.000000000	
r181	 4153.000000000	
r182	 3241.000000000	
r183	 2121.000000000	
r184	  623.000000000	
r185	 2498.000000000	
r186	 4683.000000000	
r187	 4153.000000000	
r188	 3241.000000000	
r189	 2121.000000000	
r190	  623.000000000	
r191	 3295.000000000	
r192	 7383.000000000	
r193	 8731.000000000	
r194	 1047.000000000	
r195	 3295.000000000	
r196	 7383.000000000	
r197	 8731.000000000	
r198	 1047.000000000	
r199	 3295.000000000	
r200	 7383.000000000	
r201	 8731.000000000	
r202	 1047.000000000	
r203	 2775.000000000	
r204	 6066.000000000	
r205	 7721.000000000	
r206	  757.000000000	
r207	 2775.000000000	
r208	 6066.000000000	
r209	 7721.000000000	
r210	  757.000000000	
r211	 2775.000000000	
r212	 6066.000000000	
r213	 7721.000000000	
r214	  757.000000000	
r215	 6794.000000000	
r216	 4856.000000000	
r217	 3663.000000000	
r218	 2200.000000000	
r219	  998.000000000	
r220	  125.000000000	
r221	 6794.000000000	
r222	 4856.000000000	
r223	 3663.000000000	
r224	 2200.000000000	
r225	  998.000000000	
r226	  125.000000000	
r227	 6794.000000000	
r228	 4856.000000000	
r229	 3663.000000000	
r230	 2200.000000000	
r231	  998.000000000	
r232	  125.000000000	
r233	13265.000000000	
r234	 2654.000000000	
r235	 1409.000000000	
r236	  772.000000000	
r237	  460.000000000	
r238	   76.000000000	
r239	13265.000000000	
r240	 2654.000000000	
r241	 1409.000000000	
r242	  772.000000000	
r243	  460.000000000	
r244	   76.000000000	
r245	13265.000000000	
r246	 2654.000000000	
r247	 1409.000000000	
r248	  772.000000000	
r249	  460.000000000	
r250	   76.000000000	
r251	10941.000000000	
r252	 2525.000000000	
r253	  989.000000000	
r254	  426.000000000	
r255	  185.000000000	
r256	   21.000000000	
r257	10941.000000000	
r258	 2525.000000000	
r259	  989.000000000	
r260	  426.000000000	
r261	  185.000000000	
r262	    0.000000000	
r263	10941.000000000	
r264	 2525.000000000	
r265	  989.000000000	
r266	  426.000000000	
r267	  185.000000000	
r268	   21.000000000	
r269	13400.000000000	
r270	 1075.000000000	
r271	  384.000000000	
r272	  164.000000000	
r273	    0.000000000	
r274	    0.000000000	
r275	13400.000000000	
r276	 1075.000000000	
r277	  384.000000000	
r278	  164.000000000	
r279	   53.000000000	
r280	   11.000000000	
r281	13400.000000000	
r282	 1075.000000000	
r283	  384.000000000	
r284	  164.000000000	
r285	   53.000000000	
r286	   11.000000000	
r287	    9.000000000	
r288	   38.000000000	
r289	   87.000000000	
r290	  142.000000000	
r291	  160.000000000	
r292	   58.000000000	
r293	   48.000000000	
r294	  147.000000000	
r295	  256.000000000	
r296	  304.000000000	
r297	  359.000000000	
r298	  158.000000000	
r299	   92.000000000	
r300	  247.000000000	
r301	  355.000000000	
r302	  395.000000000	
r303	  359.000000000	
r304	  156.000000000	
r305	    4.000000000	
r306	   38.000000000	
r307	   38.000000000	
r308	   51.000000000	
r309	   53.000000000	
r310	   18.000000000	
r311	   10.000000000	
r312	   32.000000000	
r313	   73.000000000	
r314	  120.000000000	
r315	  158.000000000	
r316	   83.000000000	
r317	   44.000000000	
r318	  137.000000000	
r319	  258.000000000	
r320	  317.000000000	
r321	  351.000000000	
r322	  141.000000000	
r323	   91.000000000	
r324	  273.000000000	
r325	  365.000000000	
r326	  418.000000000	
r327	  401.000000000	
r328	  144.000000000	
r329	    8.000000000	
r330	   28.000000000	
r331	   40.000000000	
r332	   37.000000000	
r333	   21.000000000	
r334	   22.000000000	
r335	  494.000000000	
r336	 1272.000000000	
r337	 1604.000000000	
r338	  202.000000000	
r339	  476.000000000	
r340	 1248.000000000	
r341	 1692.000000000	
r342	  156.000000000	
r343	  153.000000000	
r344	  470.000000000	
r345	  736.000000000	
r346	  892.000000000	
r347	  931.000000000	
r348	  390.000000000	
r349	  461.000000000	
r350	  722.000000000	
r351	  596.000000000	
r352	  320.000000000	
r353	   68.000000000	
r354	    0.000000000	
r355	 1003.000000000	
r356	 1632.000000000	
r357	 1154.000000000	
r358	  653.000000000	
r359	  179.000000000	
r360	    2.000000000	
r361	 1099.000000000	
r362	 1938.000000000	
r363	 1347.000000000	
r364	  703.000000000	
r365	  162.000000000	
r366	    3.000000000	
r367	   83.000000000	
r368	  216.000000000	
r369	  173.000000000	
r370	  114.000000000	
r371	    0.000000000	
r372	    0.000000000	
r373	  337.000000000	
r374	  579.000000000	
r375	  477.000000000	
r376	  276.000000000	
r377	    0.000000000	
r378	    1.000000000	
r379	  783.000000000	
r380	 1227.000000000	
r381	  889.000000000	
r382	  530.000000000	
r383	    0.000000000	
r384	    0.000000000	
r385	  907.000000000	
r386	 1587.000000000	
r387	 1074.000000000	
r388	  557.000000000	
r389	  120.000000000	
r390	    2.000000000	
r391	   59.000000000	
r392	  180.000000000	
r393	  100.000000000	
r394	   55.000000000	
r395	    0.000000000	
r396	    0.000000000	
r397	 2167.000000000	
r398	 4623.000000000	
r399	 5252.000000000	
r400	  610.000000000	
r401	 1739.000000000	
r402	 3556.000000000	
r403	 4247.000000000	
r404	  411.000000000	
r405	 2646.000000000	
