	c1	
r1	    0.029634717	
r2	    0.019271476	
r3	    0.013696044	
r4	    0.011702261	
r5	    0.011081358	
r6	    0.015879428	
r7	    0.022710745	
r8	    0.009693906	
r9	    0.008041379	
r10	    0.008437199	
r11	    0.009197311	
r12	    0.013438561	
r13	    0.039247469	
r14	    0.021833501	
r15	    0.017024074	
r16	    0.015433493	
r17	    0.014747942	
r18	    0.022926710	
r19	    0.019709383	
r20	    0.009332709	
r21	    0.008273090	
r22	    0.007542261	
r23	    0.008075879	
r24	    0.010281736	
r25	    0.010560282	
r26	    0.009145545	
r27	    0.007109143	
r28	    0.007129864	
r29	    0.006799099	
r30	    0.012000680	
r31	    0.027351606	
r32	    0.015439578	
r33	    0.012870829	
r34	    0.011757755	
r35	    0.011668676	
r36	    0.017865752	
r37	    0.000000000	
r38	    0.004341747	
r39	    0.003567039	
r40	    0.004377385	
r41	    0.003817343	
r42	    0.003798311	
r43	    0.006134969	
r44	    0.001949318	
r45	    0.002665128	
r46	    0.003261049	
r47	    0.002937465	
r48	    0.006880828	
r49	    0.012155797	
r50	    0.006945513	
r51	    0.007377863	
r52	    0.005978816	
r53	    0.006256354	
r54	    0.011088287	
r55	    0.014423277	
r56	    0.008905438	
r57	    0.009431944	
r58	    0.029229945	
r59	    0.010633719	
r60	    0.007199080	
r61	    0.006436690	
r62	    0.015044626	
r63	    0.019965553	
r64	    0.012925574	
r65	    0.011562864	
r66	    0.030019232	
r67	    0.010778105	
r68	    0.006085914	
r69	    0.005743770	
r70	    0.015891160	
r71	    0.010778105	
r72	    0.006640798	
r73	    0.004522777	
r74	    0.007706560	
r75	    0.019268656	
r76	    0.010896351	
r77	    0.007308098	
r78	    0.018777787	
r79	    0.006186793	
r80	    0.003224634	
r81	    0.002216656	
r82	    0.008599219	
r83	    0.004591164	
r84	    0.002905489	
r85	    0.002013226	
r86	    0.003875969	
r87	    0.011331369	
r88	    0.005860302	
r89	    0.003693131	
r90	    0.012040363	
r91	    0.012504434	
r92	    0.008701852	
r93	    0.009438240	
r94	    0.034528179	
r95	    0.010280683	
r96	    0.007202598	
r97	    0.006304220	
r98	    0.018761557	
r99	    0.020737250	
r100	    0.013261767	
r101	    0.011229112	
r102	    0.028480190	
r103	    0.006675529	
r104	    0.005763306	
r105	    0.005738632	
r106	    0.028480190	
r107	    0.010128846	
r108	    0.006517426	
r109	    0.004531555	
r110	    0.013959697	
r111	    0.019806573	
r112	    0.010701374	
r113	    0.007366070	
r114	    0.016917094	
r115	    0.004565493	
r116	    0.003358384	
r117	    0.002358404	
r118	    0.011122443	
r119	    0.004171651	
r120	    0.003042224	
r121	    0.001929150	
r122	    0.005025126	
r123	    0.012504434	
r124	    0.005597087	
r125	    0.003782629	
r126	    0.007088632	
r127	    0.037466683	
r128	    0.021629276	
r129	    0.016572886	
r130	    0.015093227	
r131	    0.014863841	
r132	    0.022277096	
r133	    0.020296299	
r134	    0.012518015	
r135	    0.011369065	
r136	    0.031143190	
r137	    0.018340527	
r138	    0.012406096	
r139	    0.011207379	
r140	    0.032613496	
r141	    0.038020681	
r142	    0.021833501	
r143	    0.016977976	
r144	    0.015389406	
r145	    0.015119835	
r146	    0.023012864	
r147	    0.021238787	
r148	    0.012930231	
r149	    0.011480243	
r150	    0.031180708	
r151	    0.020301167	
r152	    0.012845882	
r153	    0.011300803	
r154	    0.032295193	
r155	    0.008510002	
r156	    0.005998769	
r157	    0.006608454	
r158	    0.007754043	
r159	    0.010094743	
r160	    0.018970666	
r161	    0.007889819	
r162	    0.005783168	
r163	    0.006407082	
r164	    0.007497713	
r165	    0.009768967	
r166	    0.018065371	
r167	    0.004831045	
r168	    0.002299049	
r169	    0.002523613	
r170	    0.003288339	
r171	    0.004724972	
r172	    0.010062284	
r173	    0.009203838	
r174	    0.006590263	
r175	    0.006795421	
r176	    0.007615845	
r177	    0.009281630	
r178	    0.015862123	
r179	    0.006079751	
r180	    0.004366404	
r181	    0.004893632	
r182	    0.006277618	
r183	    0.008354408	
r184	    0.016105723	
r185	    0.009830356	
r186	    0.007104690	
r187	    0.007495170	
r188	    0.008610590	
r189	    0.010723000	
r190	    0.019613683	
r191	    0.008708628	
r192	    0.005604305	
r193	    0.004620338	
r194	    0.012741112	
r195	    0.008600513	
r196	    0.005459882	
r197	    0.004357101	
r198	    0.010710908	
r199	    0.004330866	
r200	    0.002234614	
r201	    0.002046971	
r202	    0.008260732	
r203	    0.006468925	
r204	    0.005061408	
r205	    0.005387348	
r206	    0.017848109	
r207	    0.005878343	
r208	    0.004500662	
r209	    0.003668065	
r210	    0.012570764	
r211	    0.008125447	
r212	    0.006064239	
r213	    0.005669241	
r214	    0.016061224	
r215	    0.005947706	
r216	    0.005642693	
r217	    0.006002891	
r218	    0.007547413	
r219	    0.011961238	
r220	    0.027413206	
r221	    0.006057017	
r222	    0.005358261	
r223	    0.005658972	
r224	    0.007030511	
r225	    0.011471006	
r226	    0.025440633	
r227	    0.003105976	
r228	    0.002182281	
r229	    0.002355464	
r230	    0.003178110	
r231	    0.004098084	
r232	    0.011267996	
r233	    0.003283789	
r234	    0.009517750	
r235	    0.011767756	
r236	    0.010853818	
r237	    0.016153752	
r238	    0.035436859	
r239	    0.002895072	
r240	    0.009607347	
r241	    0.011951731	
r242	    0.012093170	
r243	    0.018115942	
r244	    0.039032624	
r245	    0.001810122	
r246	    0.003132722	
r247	    0.003073774	
r248	    0.005992354	
r249	    0.009742664	
r250	    0.018483603	
r251	    0.003419723	
r252	    0.009951493	
r253	    0.014809553	
r254	    0.019719954	
r255	    0.031629304	
r256	    0.065638327	
r257	    0.003365951	
r258	    0.005682215	
r259	    0.008917003	
r260	    0.013492098	
r261	    0.018156538	
r262	    0.000000000	
r263	    0.004362616	
r264	    0.009767025	
r265	    0.013419915	
r266	    0.016009888	
r267	    0.028222672	
r268	    0.065638327	
r269	    0.003925699	
r270	    0.009395146	
r271	    0.019392617	
r272	    0.020397398	
r273	    0.000000000	
r274	    0.000000000	
r275	    0.002324630	
r276	    0.015143249	
r277	    0.024396973	
r278	    0.035851663	
r279	    0.046951600	
r280	    0.090909091	
r281	    0.004170950	
r282	    0.015194718	
r283	    0.019505963	
r284	    0.032738975	
r285	    0.046951600	
r286	    0.090909091	
r287	    0.138277541	
r288	    0.541094433	
r289	    0.435829500	
r290	    0.499966767	
r291	    0.499502254	
r292	    0.979599650	
r293	    0.749374764	
r294	    0.488253320	
r295	    0.304256549	
r296	    0.428357260	
r297	    0.458750513	
r298	    0.763380003	
r299	    0.708496952	
r300	    0.421949847	
r301	    0.455837606	
r302	    0.453435673	
r303	    0.514764494	
r304	    0.877857377	
r305	    5.809818697	
r306	    1.571520739	
r307	    2.215361780	
r308	    1.825762766	
r309	    1.751792611	
r310	    3.890482962	
r311	    0.307477190	
r312	    1.061207264	
r313	    0.408248347	
r314	    0.549870581	
r315	    0.528163275	
r316	    0.797815924	
r317	    1.224818095	
r318	    0.518998332	
r319	    0.352224105	
r320	    0.390648248	
r321	    0.429299014	
r322	    0.806995679	
r323	    0.587949709	
r324	    0.385958376	
r325	    0.449909892	
r326	    0.464950206	
r327	    0.527288446	
r328	    0.919752916	
r329	    2.509709149	
r330	    1.923473666	
r331	    1.952113962	
r332	    2.039940833	
r333	    2.641994265	
r334	    3.335816605	
r335	    4.952993755	
r336	    6.180499709	
r337	    5.772907434	
r338	   22.775849922	
r339	    4.846241878	
r340	    5.720862211	
r341	    6.040495325	
r342	   27.231723456	
r343	   11.859309182	
r344	    5.550205219	
r345	    7.631098901	
r346	    7.903256890	
r347	    8.103500032	
r348	   13.783981885	
r349	    0.009144463	
r350	    0.016720165	
r351	    0.033846808	
r352	    0.074286502	
r353	    0.235708502	
r354	    0.000000000	
r355	    0.010016065	
r356	    0.018086643	
r357	    0.033172301	
r358	    0.080731179	
r359	    0.216854155	
r360	    7.052621603	
r361	    0.011032831	
r362	    0.025638265	
r363	    0.056028889	
r364	    0.140611677	
r365	    0.493889288	
r366	    7.997274316	
r367	    0.046998154	
r368	    0.059164026	
r369	    0.179990950	
r370	    0.485907825	
r371	    1.762086991	
r372	    0.000000000	
r373	    0.021716218	
r374	    0.007292842	
r375	    0.010429585	
r376	    0.014998328	
r377	    0.043887958	
r378	    0.000000000	
r379	    0.004375583	
r380	    0.005716799	
r381	    0.011537404	
r382	    0.034774704	
r383	    0.157880012	
r384	    0.000000000	
r385	    0.009907134	
r386	    0.013566785	
r387	    0.032415975	
r388	    0.076917154	
r389	    0.292175382	
r390	    2.200969934	
r391	    0.079245727	
r392	    0.060442031	
r393	    0.125118524	
r394	    0.288613618	
r395	    0.923110798	
r396	    0.000000000	
r397	    0.075754273	
r398	    0.156836149	
r399	    0.450402626	
r400	    2.102543625	
r401	    0.006362491	
r402	    0.008773383	
r403	    0.017246899	
r404	    0.087633963	
r405	    0.009110536	
r406	    0.126344078	
r407	    0.160209034	
r408	    0.748646911	
r409	    3.141632079	
r410	   48.334684425	
r411	    0.025198126	
r412	    0.023859873	
r413	    0.082624181	
r414	    0.229618485	
r415	    1.333139599	
r416	    2.153008223	
r417	    0.039524555	
r418	    0.028152869	
r419	    0.023334935	
r420	    0.021555001	
r421	    0.025415609	
r422	    0.049247679	
r423	    0.117623714	
r424	    0.051642692	
r425	    0.046137407	
r426	    0.043329279	
r427	    0.040168816	
r428	    0.085696102	
r429	    0.042430003	
r430	    0.042655361	
r431	    0.026164402	
r432	    0.026570305	
r433	    0.051861143	
r434	    0.062689398	
r435	    0.218380124	
r436	    0.077826097	
r437	    0.084778981	
r438	    0.076303875	
r439	    0.067207422	
r440	    0.230713583	
r441	    0.096273971	
r442	    0.068243364	
r443	    0.049787401	
r444	    0.057501422	
r445	    0.050073324	
r446	    0.089777498	
r447	    0.224544776	
r448	    0.134254346	
r449	    0.094398523	
r450	    0.079600621	
r451	    0.083820987	
r452	    0.108200129	
r453	    0.092177731	
r454	    0.110262820	
r455	    0.067982791	
r456	    0.104713053	
r457	    0.065327364	
r458	    0.132676347	
r459	    0.271941108	
r460	    0.162024565	
r461	    0.139409759	
r462	    0.122043579	
r463	    0.186802497	
r464	    0.145459777	
r465	    0.025738481	
r466	    0.016685193	
r467	    0.015324100	
r468	    0.050507186	
r469	    0.048308753	
r470	    0.029671760	
r471	    0.034038162	
r472	    0.092689985	
r473	    0.034348879	
r474	    0.020391933	
r475	    0.027730052	
r476	    0.047775373	
r477	    0.102363862	
r478	    0.051951033	
r479	    0.063406691	
r480	    0.083672517	
r481	    0.097524282	
r482	    0.050535734	
r483	    0.031771630	
r484	    0.048785755	
r485	    0.115965175	
r486	    0.064164167	
r487	    0.063220356	
r488	    0.199706907	
r489	    0.096090873	
r490	    0.083546674	
r491	    0.049276122	
r492	    0.036903707	
r493	    0.216354032	
r494	    0.109921137	
r495	    0.106936585	
r496	    0.347476138	
r497	    0.025868372	
r498	    0.023135163	
r499	    0.021149006	
r500	    0.021422489	
r501	    0.026767061	
r502	    0.053433063	
r503	    0.037476691	
r504	    0.044037806	
r505	    0.057525227	
r506	    0.058025397	
r507	    0.077611284	
r508	    0.082993204	
r509	    0.012375875	
r510	    0.026007644	
r511	    0.037717033	
r512	    0.062554069	
r513	    0.053751256	
r514	    0.114368351	
r515	    0.027303467	
r516	    0.079509225	
r517	    0.086675115	
r518	    0.118271084	
r519	    0.146029328	
r520	    0.388950274	
r521	    0.008347345	
r522	    0.056401557	
r523	    0.049230619	
r524	    0.016038436	
r525	    0.023895129	
r526	    0.190943311	
r527	    0.155351598	
r528	    0.041184768	
r529	    0.050496673	
r530	    0.024048818	
r531	    0.015442249	
r532	    0.017695715	
r533	    0.016451220	
r534	    0.026161951	
r535	    0.133321258	
r536	    0.048640090	
r537	    0.038840790	
r538	    0.032396802	
r539	    0.024346540	
r540	    0.039369123	
r541	    0.156745911	
r542	    0.065829622	
r543	    0.046744484	
r544	    0.048660622	
r545	    0.044688850	
r546	    0.082787999	
r547	    0.406302618	
r548	    0.156320638	
r549	    0.087172707	
r550	    0.073864630	
r551	    0.080084065	
r552	    0.103320620	
r553	    0.049234169	
r554	    0.006157264	
r555	    0.005542998	
r556	    0.056609316	
r557	    0.012620422	
r558	    0.017500225	
r559	    0.048392497	
r560	    0.011715404	
r561	    0.017797029	
r562	    0.003408137	
r563	    0.008174002	
r564	    0.034602369	
r565	    0.003097923	
r566	    0.008376425	
r567	    0.018644307	
r568	    0.001476504	
r569	    0.002036740	
r570	    0.036238019	
r571	    0.010329840	
r572	    0.011472174	
r573	    0.003943581	
r574	    0.004458406	
r575	    0.019920439	
r576	    0.003039251	
r577	    0.009605499	
r578	    0.017520033	
r579	    0.004898590	
r580	    0.004094748	
r581	    0.007748849	
r582	    0.039803299	
r583	    0.003622789	
r584	    0.008126223	
r585	    0.026879012	
r586	    0.001998979	
r587	    0.002686308	
r588	    0.043762524	
r589	    0.010092613	
r590	    0.010352882	
r591	    0.004157547	
r592	    0.004882347	
r593	    0.018195092	
r594	    0.003307178	
r595	    0.009065582	
r596	    0.015781813	
r597	    0.005222858	
r598	    0.004948227	
r599	    0.008483447	
r600	    0.040598672	
r601	    0.004503924	
r602	    0.009250353	
r603	    0.027065782	
r604	    0.002151980	
r605	    0.004038249	
r606	    0.044642857	
r607	    0.013348684	
r608	    0.010352882	
r609	    0.005512673	
r610	    0.006446628	
r611	    0.018426886	
r612	    0.005108144	
r613	    0.012094092	
r614	    0.016083338	
r615	    0.007328395	
r616	    0.007631762	
r617	    0.010471594	
r618	    0.047554769	
r619	    0.007318682	
r620	    0.012292716	
r621	    0.041577421	
r622	    0.002320805	
r623	    0.007014979	
r624	    0.056538877	
r625	    0.018651943	
r626	    0.014149930	
r627	    0.007196602	
r628	    0.012120192	
r629	    0.023399341	
r630	    0.008538643	
r631	    0.015194529	
r632	    0.020075087	
r633	    0.010831373	
r634	    0.015303550	
r635	    0.026104793	
